#  L1   L3   E4frac   E5frac
1.154561620087467544e+00 8.400612830292659705e-01 5.255150525305379849e-01 9.193052810426085575e-01
1.862061213343777943e+00 5.081909526720042036e-01 1.226026176769368092e-04 7.966182109944072165e-01
2.985597770018871167e+00 4.127344401476444880e-01 0.000000000000000000e+00 7.725142048308386578e-01
2.654703423417245745e+00 3.728881466791396093e-01 0.000000000000000000e+00 7.639307701123059235e-01
2.067067702699763920e+00 8.932420992384944025e-01 6.741312438873066082e-01 9.445801435182494821e-01
1.709210559847095467e+00 6.979928016042487027e-01 1.732205306786609444e-01 8.593912467140580880e-01
2.959307193791766544e+00 3.509095040742511440e-01 0.000000000000000000e+00 7.595688545488411547e-01
1.199182007922929172e+00 9.025876807882575736e-01 7.011900134994810685e-01 9.491819750849457282e-01
2.675768278160622238e+00 3.409714119441175084e-01 0.000000000000000000e+00 7.576834975891838520e-01
1.191209216738425836e+00 6.555071518578859946e-01 8.239226161692247974e-02 8.436238596919837240e-01
1.552397184779189088e+00 8.018927097940649062e-01 4.244726987689332320e-01 9.021212072736282117e-01
2.926994251319710472e+00 5.495296140274071872e-01 5.177098531884971599e-03 8.086073108185878322e-01
2.174333922749920767e+00 8.072206212411304760e-01 4.382949943277361093e-01 9.044719378108393437e-01
2.496567362735988560e+00 6.478949814490951864e-01 7.093438765835746729e-02 8.409033758695099170e-01
1.838350994066892952e+00 4.336761479443222989e-01 0.000000000000000000e+00 7.773743853598334974e-01
2.987850994433975949e+00 7.020635570501457812e-01 1.824092942080476343e-01 8.609539616000081441e-01
1.329041284215535690e+00 7.007474359582948065e-01 1.794326182902209466e-01 8.604477241990169389e-01
1.628744852668166487e+00 7.586452175255380403e-01 3.156619491572311142e-01 8.836159777478281852e-01
1.982769828435381410e+00 8.236644829405990187e-01 4.815328080217288198e-01 9.118253074866886632e-01
2.098094893211380096e+00 4.356157587008189780e-01 0.000000000000000000e+00 7.778367019074771127e-01
1.893249092726436933e+00 8.654576038696337736e-01 5.953485643292972807e-01 9.311817286274316485e-01
1.954836824146066299e+00 4.922812514626404012e-01 0.000000000000000000e+00 7.922537936907567691e-01
1.958912735345259115e+00 3.363833137246085014e-01 0.000000000000000000e+00 7.568313632049455952e-01
2.241041437277219828e+00 6.931698376340542644e-01 1.624029917270509715e-01 8.575515292052808825e-01
2.429376000280155878e+00 6.905898029735114685e-01 1.566469657628600798e-01 8.565726132249763536e-01
1.742737324674861643e+00 4.592678320546574877e-01 0.000000000000000000e+00 7.836402686066759049e-01
2.222911048244204046e+00 5.001518815748799973e-01 4.119329399809856795e-08 7.943955496110330916e-01
1.297511548662104275e+00 7.225101911937372723e-01 2.293709398762295848e-01 8.689406360333723489e-01
1.723877793763521016e+00 3.502737876538410955e-01 0.000000000000000000e+00 7.594466311922715152e-01
1.752531115155428143e+00 8.247943884223470912e-01 4.845358180051289043e-01 9.123360234702601046e-01
1.271091664377788533e+00 7.844496184166787067e-01 3.798601626262941844e-01 8.945340412629751992e-01
2.184335165998234629e+00 7.598271937068289406e-01 3.185556402997249403e-01 8.841081020917895827e-01
